country_id,country_name,post_ussr,industry,service,agro,hh_cons,gov_exp,invest,net_export,empl_ind,empl_serv,empl_agro,gdp_growth_ave,infl_ave,unempl_ave,empl_ave,fisc_bal_ave,gov_debt_ave,cur_bal_ave,gdp_perc_ppp,gini,povert,electro,elecdem,parpipdem,delibdem,frefair,jucon,legcon,cspart,locelec,eltrnout,clrelig,clstown,svstterr,mediacens,womempow,freeexp,male,nat_pop_increase,migration,rural,life_expect,med_age,death_rate,birth_rate,fertility,education,atheist,rus_lang,main_relig,arm_exp,arm_imp,mil_expend
63,Estonia,1,0.21878242,0.638507486,0.019365195,0.490091468,0.198565529,0.306644886,0.001364821,0.287000008,0.681299973,0.031700001,0.021398868,0.017563517,0.054266667,0.7897,-0.019356667,0.134685,0.006153333,38394.91753,0.303,0.217,1,0.89,0.625,0.7,0.959,0.937,0.937,0.88,0.983,0.6367,2.014,1.304,100,3.3,0.95,0.958,0.473756143,0.78497561,0.154163092,0.30771,42.424,42.424,11.6,10.6,1.66,0.978234634,0.602,0,0,0,150,0.056619407
65,Ethiopia,0,0.231050197,0.368133304,0.354514063,0.686823121,0.091930468,0.30752154,-0.098389645,0.093199997,0.240499992,0.666299973,0.070789504,0.151704688,0.023,0.815133333,-0.027753333,0.564915,-0.05478,2422.957789,0.35,0.235,0.482716217,0.335,0.165,0.289,0.217,0.207,0.234,0.668,0.26,0,1.519,-0.972,85,1.592,0.669,0.628,0.500304823,0.66597,0.01079526,0.78305,19.466,19.466,6.418,31.896,4.146,0.125116901,0.009,0,2,0,92,0.032098492
68,Finland,0,0.235978052,0.605599936,0.024538146,0.524196603,0.232068459,0.239915441,0.003861589,0.216399994,0.745800018,0.0378,-0.000629664,0.007994898,0.072966667,0.775266667,-0.022056667,0.632125,-0.00415,51089.78533,0.273,0.122,1,0.878,0.631,0.807,0.969,0.968,0.969,0.972,0.993,0.6873,3.033,0.697,100,2.877,0.945,0.979,0.493150166,0.817853659,0.057396833,0.42753,43.128,43.128,9.8,8.3,1.35,0.506,0.208,0,2,166,477,0.025534036
69,France,0,0.162941481,0.710344295,0.017191712,0.537268294,0.230956488,0.24057602,-0.022146193,0.204300003,0.770400009,0.0253,-0.01604483,0.011451896,0.086933333,0.7181,-0.050533333,1.057655,-0.011876667,46226.95054,0.324,0.136,1,0.877,0.61,0.8,0.946,0.927,0.884,0.884,0.977,0,1.789,0.883,98,2.557,0.931,0.975,0.483951208,0.825780488,0.120884794,0.14483,42.338,42.338,9.1,11.2,1.87,0.855956573,0.319,0,2,11494,548,0.032863083
70,Gabon,0,0.41469062,0.462175585,0.064040346,0.376821977,0.109933967,0.216137371,0.25269975,0.107399998,0.592999992,0.299599991,0.011546535,0.019784816,0.1996,0.5444,0.000763333,0.660265,-0.03423,15190.63863,0.38,0.334,0.90685257,0.38,0.263,0.29,0.206,0.229,0.142,0.803,0.953,0.5863,1.314,-0.172,88.333,0.173,0.773,0.738,0.508981331,0.66467,0.155558595,0.19025,22.511,22.511,6.704,30.968,3.922,,0.057,0,2,0,27,0.084719891
71,"Gambia, The",0,0.157929937,0.545248857,0.217971953,0.858812331,0.081866152,0.225239897,-0.142639373,0.150100002,0.579599991,0.270300007,0.04430552,0.070647529,0.092,0.6054,-0.034993333,0.77971,-0.067816667,2278.027815,0.359,0.486,0.599212875,0.504,0.305,0.374,0.491,0.931,0.64,0.709,0.905,0,2.172,1.129,97,1.163,0.798,0.799,0.495948133,0.6205,0.096708865,0.09908,17.844,17.844,7.722,38.073,5.154,0.309710903,0.009,0,6,0,0,0.029555943
72,Georgia,1,0.216332112,0.58568084,0.073697518,0.705521422,0.13111312,0.261517544,-0.185598122,0.142600002,0.475900002,0.381500015,0.012218658,0.044575698,0.120966667,0.7081,-0.039926667,0.505285,-0.081766667,14863.01737,0.359,0.195,1,0.643,0.421,0.523,0.593,0.657,0.756,0.81,0.851,0.5611,1.282,1.034,79.625,1.33,0.893,0.888,0.476596539,0.73767,0.042202484,0.37418,38.268,38.268,12.791,13.2,2.055,0.976632919,0.009,0,2,13,57,0.055601404
73,Germany,0,0.261908992,0.635926992,0.006628894,0.52387498,0.204269581,0.203509061,0.058205466,0.271800003,0.716100006,0.0121,0.014751407,0.012281749,0.0361,0.785433333,-0.002773333,0.64285,0.071866667,53694.35471,0.319,0.148,1,0.879,0.637,0.844,0.975,0.93,0.978,0.982,0.986,0,2.438,1.962,90,2.78,0.955,0.962,0.494317987,0.809414634,0.148790513,0.40547,45.744,45.744,11.3,9.4,1.54,0.963322525,0.263,0,2,7731,178,0.025962215
74,Ghana,0,0.346854824,0.42632635,0.182377292,0.687752898,0.088476348,0.263385806,0.005732288,0.210499992,0.492099991,0.2975,0.043740986,0.130358719,0.0427,0.692666667,-0.100976667,0.70954,-0.030776667,5596.307071,0.435,0.234,0.835,0.698,0.348,0.582,0.737,0.847,0.851,0.815,0.35,0.7889,2.9,1.553,93.857,2.106,0.846,0.873,0.506871782,0.64074,0.014573972,0.22547,21.507,21.507,7.219,28.992,3.816,0.543196182,0.038,0,2,0,27,0.012531892
75,Greece,0,0.139128568,0.698061162,0.041178544,0.692588257,0.197095374,0.134498675,-0.07551331,0.153400002,0.730599976,0.116000004,-0.016106945,-0.003174561,0.178166667,0.684766667,-0.02784,1.99002,-0.044126667,28463.78868,0.329,0.179,1,0.843,0.611,0.768,0.957,0.892,0.81,0.891,0.924,0.5791,0.963,1.24,100,0.935,0.937,0.873,0.49081824,0.819390244,0.113423774,0.42651,45.55,45.55,11.7,7.8,1.35,0.736619492,0.061,0,2,47,590,0.04773826
79,Guatemala,0,0.220777075,0.618682228,0.102434196,0.84866962,0.111205509,0.129341276,-0.080499819,0.187299995,0.499799995,0.312999992,0.018898755,0.040291397,0.0314,0.644366667,-0.030296667,0.291665,0.027526667,8854.202464,0.483,0.593,0.957245712,0.58,0.363,0.323,0.594,0.735,0.695,0.682,0.886,0.6216,1.962,2.619,81,1.538,0.71,0.747,0.492706092,0.74302,0.004671877,0.05062,22.881,22.881,4.72,24.21,2.822,0.322936897,0.039,0,2,0,18,0.028268532
83,Haiti,0,0.242272547,0.531839699,0.197978719,1.012139107,0.075345208,0.120661914,-0.240523236,0.066599998,0.643099976,0.290300007,-0.01129303,0.149931025,0.138533333,0.686766667,-0.015666667,0.27711,-0.002106667,2925.365324,0.411,0.585,0.453713455,0.393,0.222,0.265,0.233,0.228,0.775,0.439,0.93,0,2.261,1.81,87.5,0.408,0.456,0.708,0.493438169,0.64001,0.003690482,0.73214,24.008,24.008,8.448,23.959,2.887,0.01,0.107,0,2,0,0,0.000146983
84,Honduras,0,0.259501589,0.583418127,0.121171809,0.819704816,0.134889921,0.187211388,-0.152959127,0.213899994,0.491199989,0.294899998,-0.008222331,0.03375795,0.0687,0.701866667,-0.013956667,0.453885,-0.014613333,5420.560196,0.482,0.483,0.927795258,0.37,0.242,0.257,0.163,0.595,0.261,0.767,0.829,0,2.208,1.857,88,0.569,0.728,0.719,0.499654302,0.7527,0.003476135,0.42912,24.344,24.344,4.45,21.337,2.427,0.402659187,0.105,0,2,0,34,0.057990033
85,"Hong Kong SAR, China",0,0.062557302,0.899808055,0.000723135,0.693758613,0.108782026,0.18951169,0.018221441,0.110799999,0.8875,0.0017,-0.016382587,0.014057185,0.039333333,0.721633333,-0.017033333,0.002765,0.054116667,59237.67082,0.54,0.236,1,0.306,0.114,0.171,0.729,0.693,0.229,0.609,,0,0.968,1.241,,-0.154,0.862,0.489,0.45880639,0.850780488,0.389499399,0.41641,44.79,44.79,6.5,7,1.051,0.798697662,0.547,0,0,0,0,0
86,Hungary,0,0.252468039,0.558312515,0.034504115,0.49354552,0.197992377,0.276179682,0.02155893,0.320900002,0.631899986,0.047199998,0.016947526,0.02023252,0.038266667,0.718633333,-0.04214,0.73262,-0.000543333,33084.09623,0.296,0.123,1,0.467,0.32,0.253,0.631,0.727,0.61,0.614,0.926,0.6967,1.995,-0.232,100,0.145,0.855,0.594,0.475996004,0.760219512,0.045624653,,43.336,43.336,13.3,9.5,1.49,0.98181427,0.203,0,2,0,130,0.031472704
87,Iceland,0,0.198599583,0.659998395,0.044056141,0.499052751,0.244354513,0.216676557,-0.005949721,0.174699993,0.784899979,0.0404,0.002115735,0.028482712,0.0374,0.873666667,-0.026406667,0.74098,0.06068,55216.02618,0.261,0.088,1,0.854,0.632,0.789,0.927,0.955,0.914,0.965,0.994,0.6692,2.519,0.897,99.833,2.897,0.92,0.946,0.502285714,0.825609756,0.113901495,0.28058,37.491,37.491,6.3,12.3,1.75,0.99713623,0.039,0,2,0,0,0
88,India,0,0.231987388,0.492663781,0.183189877,0.604835694,0.112280203,0.28420298,-0.003167098,0.251200008,0.322799988,0.425999985,0.008699776,0.049666088,0.059033333,0.522666667,-0.08665,0.81723,-0.00655,6454.347356,0.357,0.219,0.978152847,0.45,0.278,0.267,0.577,0.792,0.648,0.631,0.868,0.6747,0.019,1.753,93.2,-0.254,0.662,0.551,0.519636733,0.69656,0.003997527,0.06102,28.426,28.426,7.265,17.644,2.202,0.375658302,0.009,0,4,315,13271,0.090823208
89,Indonesia,0,0.382611735,0.443991461,0.137039348,0.579309022,0.088096774,0.323674628,0.011460821,0.223600006,0.491399994,0.285,0.027076359,0.030851904,0.040433333,0.6961,-0.03282,0.335925,-0.020293333,12073.46151,0.382,0.094,0.9885,0.608,0.396,0.546,0.741,0.784,0.622,0.874,0.926,0.8193,0.355,-0.582,96.2,0.76,0.728,0.691,0.503495312,0.71716,0.001276755,0.65074,29.744,29.744,6.51,17.746,2.288,0.545782318,0.009,0,6,205,2363,0.047487821
90,"Iran, Islamic Rep.",0,0.30550961,0.570205191,0.128081429,0.496515465,0.116083604,0.410282833,-0.060900611,0.313899994,0.512400017,0.173700008,-0.037161339,0.183992318,0.113866667,0.4781,-0.05102,0.45316,0.019336667,13116.07236,0.42,0.14,1,0.191,0.057,0.128,0.283,0.133,0.709,0.249,0.082,0.4232,-1.235,-0.894,88.143,-1.304,0.435,0.311,0.504904334,0.76677,0.034463975,0.43359,31.972,31.972,4.842,18.42,2.146,0.69831459,0.009,0,6,25,426,0.117093049
91,Iraq,0,0.443957867,0.507792824,0.0606997,0.451310921,0.202881247,0.245428272,0.074720545,0.229300003,0.587999992,0.182700005,-0.023780013,0.001805383,0.131233333,0.444933333,-0.035796667,0.64429,-0.032856667,9763.509991,0.295,0.189,1,0.365,0.235,0.255,0.331,0.374,0.739,0.536,0.659,0.4485,-0.546,-0.721,69,0.214,0.565,0.35,0.506129069,0.70604,0.009715761,0.24126,21.04,21.04,4.736,28.556,3.597,0.441319084,0.009,0,6,0,3512,0.082687119
92,Ireland,0,0.390861549,0.543821835,0.009371132,0.292524871,0.118820115,0.312688564,0.299659449,0.187700005,0.768000031,0.044299998,0.058331375,4.75E-05,0.055366667,0.732166667,-0.015466667,0.58594,-0.002496667,93612.16591,0.314,0.131,1,0.881,0.648,0.807,0.923,0.96,0.879,0.97,0.876,0.6277,2.868,1.167,96.667,2.878,0.933,0.981,0.496445985,0.82302439,0.159169366,0.29107,38.246,38.246,6.3,12.1,1.7,0.861611023,0.079,0,2,0,98,0.00979732
93,Israel,0,0.184645243,0.711604603,0.010872323,0.541831565,0.225888093,0.21774691,0.043335094,0.172299995,0.818600006,0.0092,0.014965546,0.003576741,0.041366667,0.7235,-0.06435,0.66507,0.035003333,41854.93415,0.39,0.21,1,0.737,0.474,0.558,0.869,0.859,0.923,0.776,0.974,0.7152,2.827,1.177,92,0.549,0.902,0.873,0.497729374,0.82804878,0.249469,0.36347,30.484,30.484,5.1,20.1,3.01,0.891813583,0.032,0,5,4144,2705,0.120883286
94,Italy,0,0.215112253,0.667510235,0.019906879,0.599979564,0.187079812,0.175003749,0.036614003,0.258700008,0.702399979,0.038900001,-0.025473197,0.00537009,0.099566667,0.656733333,-0.044013333,1.450615,0.030343333,41839.99102,0.359,0.201,1,0.861,0.686,0.779,0.945,0.875,0.963,0.921,0.996,0.7293,2.741,1.335,96.333,2.783,0.937,0.963,0.486881161,0.83197561,0.096807677,0.07413,47.288,47.288,10.5,7,1.27,0.821943817,0.134,0,2,3071,2126,0.026279494
95,Jamaica,0,0.203912395,0.597396041,0.08683236,0.76187209,0.135821417,0.244052042,-0.141745467,0.161800003,0.685999985,0.152200003,-0.024725949,0.042895055,0.084066667,0.7099,-0.005876667,0.999205,-0.01449,9221.593305,0.455,0.199,0.993837738,0.808,0.55,0.664,0.868,0.923,0.841,0.898,0.982,0.3736,2.903,1.814,95.1,2.178,0.927,0.948,0.496305672,0.74475,0.00829367,0.28961,30.725,30.725,7.591,15.907,1.965,0.607150307,0.17,0,2,0,59,0.054288815
